2024-02-27 18:33:13,427 | ERROR | 截图失败：没有找到游戏窗口。
2024-02-27 18:33:14,441 | DEBUG | 截图成功！用时：0.0018286705017089844
2024-02-27 18:33:14,442 | DEBUG | 第 6 次截图。
2024-02-27 18:33:14,443 | ERROR | 截图失败：没有找到游戏窗口。
2024-02-27 18:33:15,457 | DEBUG | 截图成功！用时：0.0019941329956054688
2024-02-27 18:51:15,282 | DEBUG | 第 1 次截图。
2024-02-27 18:53:54,788 | DEBUG | 第 1 次截图。
2024-02-27 19:12:41,794 | DEBUG | 第 1 次截图。
2024-02-27 19:12:52,324 | DEBUG | 第 1 次截图。
2024-02-27 19:13:13,050 | DEBUG | 第 1 次截图。
2024-02-27 19:14:55,629 | DEBUG | 第 1 次截图。
2024-02-27 19:16:05,162 | DEBUG | 第 1 次截图。
2024-02-27 19:16:05,168 | ERROR | 截图失败：没有找到游戏窗口。
2024-02-27 19:16:06,170 | DEBUG | 截图成功！用时：0.0064203739166259766
2024-02-27 19:16:06,171 | DEBUG | 第 2 次截图。
2024-02-27 19:16:06,172 | ERROR | 截图失败：没有找到游戏窗口。
2024-02-27 19:16:07,187 | DEBUG | 截图成功！用时：0.00099945068359375
2024-02-27 19:16:07,188 | DEBUG | 第 3 次截图。
2024-02-27 19:16:07,189 | ERROR | 截图失败：没有找到游戏窗口。
2024-02-27 19:16:08,190 | DEBUG | 截图成功！用时：0.00099945068359375
2024-02-27 19:16:08,191 | DEBUG | 第 4 次截图。
2024-02-27 19:16:08,192 | ERROR | 截图失败：没有找到游戏窗口。
2024-02-27 19:16:09,200 | DEBUG | 截图成功！用时：0.0009558200836181641
2024-02-27 19:16:09,201 | DEBUG | 第 5 次截图。
2024-02-27 19:16:09,203 | ERROR | 截图失败：没有找到游戏窗口。
2024-02-27 19:16:10,213 | DEBUG | 截图成功！用时：0.0019872188568115234
2024-02-27 19:16:10,213 | DEBUG | 第 6 次截图。
2024-02-27 19:16:10,214 | ERROR | 截图失败：没有找到游戏窗口。
2024-02-27 19:16:11,222 | DEBUG | 截图成功！用时：0.0019998550415039062
2024-02-27 19:16:11,233 | ERROR | 读取图片失败！
2024-02-27 19:17:35,668 | DEBUG | 第 1 次截图。
2024-02-27 19:17:35,671 | ERROR | 截图失败：没有找到游戏窗口。
2024-02-27 19:17:36,673 | DEBUG | 截图成功！用时：0.0039958953857421875
2024-02-27 19:17:36,674 | DEBUG | 第 2 次截图。
2024-02-27 19:17:36,675 | ERROR | 截图失败：没有找到游戏窗口。
